RSI,ATR_Pct,Overext,RR,MomCons,VolSurge,RR_MomCons,RSI_Neutral,Risk_Score,Vol_Mom
-0.06038271,0.33898887,-1.3805625,-0.057848528,-0.047723435,0.16428714,-0.48637563,-0.33526632,-0.6459443,0.44151968
1.1117904,0.7369577,-0.40851402,0.28161135,-0.09806795,0.5408626,0.731602,-0.26304573,-0.21990721,0.29545447
0.059080318,0.5197241,0.5153072,0.044975437,-0.051232874,-0.33245325,0.62228733,0.087834544,-0.13659644,-0.0064919344
-0.20772098,0.05271037,0.20869747,0.088454984,0.07170522,0.6944045,0.35784242,0.15878515,1.0193788,-0.03863044
-0.0614406,0.06408584,0.035954535,0.07016835,0.024130825,-0.066245236,-0.6036166,-0.38078743,0.4050371,-1.5084655
0.039873347,-0.041636482,-0.10058756,-0.00023853453,-0.06810834,-0.38769576,-0.32685503,-0.4035834,-0.56115735,-0.117863655
0.039712287,0.6728044,-0.13314949,0.24084674,-0.038932532,0.47718704,0.3950303,-0.13539901,-0.09323969,0.6613281
0.956936,0.19002211,-0.34114927,0.18279627,-0.07845205,0.5648923,0.4919543,-0.29918018,1.2076757,-0.30655006
0.6661279,0.13980994,-0.1946175,-0.07650256,0.15264733,0.22974809,0.57258034,-0.32270405,0.51031,0.4049081
0.16163398,1.0850385,-0.13649279,-0.28443062,-0.058065686,0.3369956,0.5932241,-0.62397516,0.4998534,0.15596044
-0.62705636,-0.7532822,0.3801042,-0.02034843,0.041486323,-0.5047778,-0.9145559,-0.20455794,0.26548085,0.16732104
0.11739041,0.46781316,0.87138784,-0.10433563,-0.04715767,-0.21012506,0.7959679,0.1776126,0.22741832,-0.074396834
-0.19155075,-1.2782475,-0.20358767,0.1454191,0.022190463,-0.06293549,-0.1146949,0.2503495,-1.4368852,0.40876752
-0.17363465,-0.8450789,-1.2045645,-0.03820257,-0.051569346,0.110230885,-0.54368174,-0.07808669,-0.44430742,-0.58302313
0.11350797,-2.231647,0.027646897,-0.2381498,-0.08058991,-0.13847594,0.30590555,-0.7443776,-0.15735465,-0.036855333
0.06176559,0.20057113,-0.62570924,-0.15788347,-0.051232874,-0.17153157,0.11397023,-0.20927395,-0.38954854,-0.91919947
-0.32698986,-1.3266163,-0.41708216,-0.18987101,0.036660533,-0.33378437,0.15744467,-0.91226304,-0.16526018,-0.14470589
-0.10792708,0.45634854,-0.3655534,0.14353362,-0.08538715,-0.39204776,-0.49307412,0.19390061,-0.31665438,-0.3220624
-0.2609312,-1.6542841,0.015020333,-0.20545274,-0.09775574,-0.109440416,0.27768365,0.29492983,-0.047813408,-0.029433554
-0.077348486,0.031964876,0.36407465,0.20299484,0.05855973,0.13545291,-0.310747,0.56466126,0.6795736,0.45245656
-0.020423722,0.55652,0.18447018,0.17516486,0.08446445,-0.11918726,-0.22001188,0.3552488,-0.0066475896,0.38757026
0.10764001,1.1442304,0.11201113,0.16742358,-0.03054763,0.140495,-0.29093528,-0.117481746,0.5199019,0.027860802
-0.33623502,-0.06888431,0.15680052,0.08637991,0.07170522,0.6500435,0.29568964,0.14285645,1.0036085,-0.016364787
0.18048076,0.16601662,0.08876008,0.19688079,0.043949448,0.26918828,-0.17541103,-0.13657552,0.4672784,-0.0066163996
0.049990963,0.04973768,-0.08232373,-0.00045463163,0.028342396,-0.027467348,-0.5343347,-0.39291176,0.21249034,-1.5068678
-0.20264272,0.42422777,-0.22410445,-0.06664601,0.03829259,0.2380747,-0.7601084,0.2295851,-0.7330494,0.07594458
-0.23312521,0.48648098,0.20879103,0.011928507,-0.08245858,0.008809452,-0.70484024,0.19772248,-0.13964687,-1.2044789
0.75520134,0.97863984,0.08885871,0.12619394,0.12104414,-0.06584837,-0.03347646,-0.32517695,-0.03609818,0.37845942
0.0070760194,-1.3035489,-0.45430127,-0.06987727,-0.094497524,-0.3164322,0.12185465,-0.7186839,-0.2532738,-0.31244233
-0.20528881,0.29969344,0.39089623,0.21879566,-0.02886641,-0.011778659,-0.29497957,0.51822156,0.11700071,0.8119497
0.13068517,0.6589958,0.12293698,0.08029135,-0.026810065,0.22614096,-0.36923847,0.43568477,0.2114797,0.10125808
0.7983989,0.18902515,-0.13671547,-0.06848052,0.15425044,0.40723103,0.56233364,-0.3492334,0.5463264,0.37466025
0.055094812,0.58275115,0.3518504,0.043959543,0.022393713,0.2825539,0.8279024,-0.11315433,-0.12439757,0.37465808
-0.07739698,0.06838499,0.25893757,-0.26863477,0.03445842,-0.60669696,0.65823245,-0.26162946,-0.14541242,0.069533475
-0.15018225,0.38743892,0.8635001,-0.12797648,-0.04715767,-0.041420758,0.7161882,0.33393407,0.5913135,0.017301856
-0.13590369,0.640329,0.48787466,0.108973846,0.035483696,-0.23025501,-0.38864154,0.552967,0.38139743,0.3708693
0.05247964,0.7421954,0.27032727,0.088765375,-0.05395987,-0.08636407,-0.08393018,0.30645585,-0.18864,0.09930524
-0.1378661,-1.4651895,-0.22891901,0.13375162,0.01128422,-0.10946689,-0.2390871,0.27354744,-1.3924841,-1.1298776
0.11459185,0.62743765,0.56129545,0.154073,-0.04576622,-0.29090548,-0.3550434,0.50085884,0.17538182,-0.0020426735
-0.19963166,-1.9894336,0.27629113,-0.29150137,-0.037325453,-0.10182263,0.29072613,-0.5402699,-0.11145312,0.25752583
-0.013039711,0.3788136,0.17993349,-0.07898663,-0.070736244,-0.5792324,-0.2952362,0.33996773,-0.26954997,-0.22007099
0.041185692,-0.14706725,-0.029393543,-0.04675395,0.04845468,-0.046016004,-0.54250073,-0.25081265,-0.37439248,-0.76032215
-0.09173069,-0.10372805,0.05390395,-0.010283805,0.02591979,-0.09454467,0.33502352,0.4684847,-0.0400975,0.44401994
0.21753447,0.78606755,0.06780568,0.012729002,-0.04509596,0.17888181,0.024167879,0.27529183,-0.15606399,0.21126863
0.34133536,0.57422185,-0.087639615,-0.25581127,0.06314104,0.22796333,0.3448119,-0.3147796,0.17351441,0.36739776
0.08866777,0.1995561,0.6113978,-0.001964924,-0.040418785,0.02649935,0.6320602,0.20189464,1.2219951,0.2939724
-0.16038626,-2.0017397,-0.123643145,-0.31000766,-0.028594477,0.05956805,0.31854868,-0.3811826,-0.587834,0.5667519
-0.21515746,-1.3764768,0.15640336,-0.029697271,0.021439722,-0.054503433,0.005871172,-0.15372896,-0.98475975,0.37330097
