Ticker,Date,Close,RSI,ATR_Pct,Overext,RR,MomCons,VolSurge,ML_Prob,PassesCore,PassesSpec,Tech_Score,Final_Score,Market_Trend,Market_Volatility,SPY_RSI,Relative_Strength_20d,Dist_From_52w_High,Vol_Breakout,Price_Breakout,Mom_Acceleration,R_5d,Excess_5d,R_10d,Excess_10d,R_20d,Excess_20d,Fund_Score
META,2024-06-24,496.8721618652344,54.58564568788183,0.021002668694485978,0.04187932801199756,0.28962302792333444,0.5714285714285714,1.1353362094546016,0.5,True,True,30.402022157668075,26.72111218671744,1.0,0.07985561369752586,82.08657700314787,0.036959057712698584,-0.06036734294046364,0.0,0.0,0.0,1.1565145658813947,0.6774527274115094,6.231579177529456,3.8215644000147986,-2.0484713116543873,-4.08262594659109,
AMZN,2024-10-01,185.1300048828125,41.65948809365496,0.020576286525318396,0.033488325803036956,0.6426490757553042,0.42857142857142855,0.9446002039629292,0.5,True,True,30.399165710848237,26.71954114096653,1.0,0.11659975825162577,72.29192694029113,0.017264485959097797,-0.0798707371231403,0.0,0.0,0.0,-1.3017898765977476,-2.1019643155163026,1.382810722775174,-0.5798443992277802,3.0789157877731954,0.7662963879404128,
TSLA,2024-06-07,177.47999572753906,52.274566142379875,0.03648700480769284,0.03119376181149347,1.012210425772974,0.35714285714285715,0.7932962154576324,0.5,False,True,30.394955020598797,26.71722526132934,1.0,0.08778187458103924,57.33584825652216,0.005433827354973664,-0.40699658972778496,0.0,0.0,0.0,0.2986245165965018,-1.3436720979602468,2.8735667265537668,0.9108853103041659,47.80819973366759,43.38820262773618,
GOOGL,2024-06-03,171.98379516601562,49.849976907561434,0.017027050974565888,0.05998904131998972,0.923088345369088,0.7142857142857143,1.1503711283411762,0.5,True,True,30.387978085319332,26.713387946925636,1.0,0.08632638614593302,60.0524980567193,0.003167170917699691,-0.031325320917636956,0.0,0.0,0.0,1.1785331195718562,-0.31067370862432053,2.4677738611833977,-1.1889011563959162,7.092802585011437,2.7386437951752773,
META,2024-05-10,473.7845153808594,60.148406719727355,0.039138739850857814,-0.026803176887954305,0.5561579571655139,0.7142857142857143,0.5197704983583714,0.5,True,True,30.384044758390445,26.711224617114745,0.0,0.12843210990582282,73.53996821001897,-0.08929593369670696,-0.10402828488159921,0.0,0.0,1.0,-0.9008776892401316,-2.5539544181302776,0.4241875878544299,-1.226979408141693,5.543887972479955,2.6985053187031927,
V,2024-10-23,281.2241516113281,52.3239744887552,0.013154976061348418,0.02038696878318369,0.5683460211849705,0.6428571428571429,0.9357099375842808,0.5,True,True,30.37684286717917,26.707263576948545,1.0,0.0960542889345224,61.3427498535846,0.03845912576088528,-0.031767157056654116,0.0,0.0,0.0,2.255415618167156,1.9059195011663865,8.33097399468028,6.073149344275253,8.533412304711607,6.368992546397156,
META,2024-05-29,471.95379638671875,53.693377865579144,0.01955567467170822,-0.018906776413390114,0.20415348642904302,0.5,0.7241011522109878,0.5,True,True,30.35959524821753,26.697777386519643,1.0,0.09108601707749031,65.19956561761624,0.05467705531019784,-0.10749034914041411,0.0,0.0,1.0,4.363787814302023,2.7348126261124817,7.268737849161422,4.368142014051668,9.637385934235155,5.449465325978543,
V,2024-06-10,272.03656005859375,51.43822817141233,0.013148718584002113,0.002714538080144324,0.9611624795302952,0.5,0.7043729131611602,0.5,True,True,30.358771490589394,26.69732431982417,1.0,0.08800364713824381,58.71722813822149,-0.04694398214408524,-0.05296594484663919,0.0,0.0,1.0,-1.407075132929947,-3.5427388720823405,-0.5490182176674407,-2.589063363477373,-4.377550876174297,-9.50595240695381,
MSFT,2024-05-08,406.01531982421875,55.90096144694057,0.022371232864993013,-0.007485426593980771,0.8198990904170813,0.6428571428571429,0.5629218106602992,0.5,True,True,30.35690473066121,26.696297601863666,0.0,0.13982248960315521,67.62417517277814,-0.036023893663180595,-0.047073114393755056,0.0,0.0,1.0,3.2403935266090533,0.8060771920568754,5.0559179694399825,2.611949519716328,3.591790930908867,0.21391122294844855,
META,2024-05-09,473.0084533691406,59.522744178514465,0.040812061061791124,-0.028950163399573237,0.8061881876046447,0.7142857142857143,0.4549620057530082,0.5,True,True,30.355778750124802,26.695678312568642,0.0,0.13874075924484008,75.65128292758196,-0.09544247126948746,-0.10549589217796462,0.0,0.0,1.0,-0.46063299551902803,-2.0985817095452997,-2.0276794003125653,-3.1407789266145514,3.6893737691974238,1.0287125041574363,
AMZN,2024-10-30,192.72999572753906,69.173755773849,0.018986595652689908,0.04614476693080394,0.0,0.7857142857142857,1.2590540966938961,0.5,True,True,30.351873378851458,26.693530358368303,1.0,0.0890656577379203,56.44939352739908,0.02353637062752556,-0.042097422212595714,0.0,1.0,1.0,7.450838441698604,5.549156213838424,11.088056270279377,8.126040067892259,6.750381390563165,3.5056115918468356,
MSFT,2024-05-15,419.17181396484375,71.41681945696055,0.018284111267717354,0.02335219144723566,0.0,0.7142857142857143,1.0855584772357076,0.5,True,True,30.34166816552576,26.68791749103917,0.0,0.11958205203684698,78.75741636717859,-0.02925086170309421,-0.01619453327925313,0.0,1.0,0.0,1.7585408005665881,1.7491180645959892,-1.9877874884368318,-0.6343868957784271,4.372708752596033,1.981152650529605,
WMT,2024-11-01,81.39634704589844,55.98792857873846,0.01249717154394743,0.03047417311214118,0.3495129655622898,0.5,1.0536203116283294,0.5,True,True,30.335788500088874,26.68468367504888,0.0,0.11125784372534438,31.37965861509224,0.018829540369238562,-0.013798816512971102,0.0,0.0,0.0,3.2120723808959584,-1.5424264366566298,2.5063873270632087,-0.06961710413955213,,,
GOOGL,2024-07-11,184.5104217529297,51.13862621089303,0.01830650095522453,0.05217109093802996,0.5352995615743493,0.5714285714285714,1.170540482763787,0.5,True,True,30.330916782025618,26.682004230114092,1.0,0.07249389989582111,68.59485661090766,0.010958526110500522,-0.032229293462403996,0.0,0.0,0.0,-4.246392782049401,-3.559924274837511,-9.856133045817195,-6.608928884713627,-12.685250463630105,-8.043584418694017,
V,2024-05-06,269.1942138671875,54.711310101515096,0.014502128166710333,-0.01926090247930723,0.7570158256920491,0.5714285714285714,0.5803069160558127,0.5,True,True,30.325789931266822,26.679184462196755,0.0,0.1445814593719578,62.18234975372033,-0.014180351262497837,-0.06286093337030452,0.0,0.0,1.0,2.4645287880361355,1.6243645243875227,2.3418550098198043,-0.26961255303170617,0.09320985163059348,-2.1949630128315523,
GOOGL,2024-10-08,163.65826416015625,53.64483199520467,0.0184633013474339,0.0157831453870263,0.20272391494373868,0.6428571428571429,0.9755516961810162,0.5,True,True,30.323327381459258,26.67783005980259,1.0,0.10230734427202694,65.92113745956085,0.05811620826561881,-0.14160039074065967,0.0,0.0,0.0,0.6570131689799696,-0.4962394811816706,0.46234639888385054,-1.3085057625527696,3.2607406567595643,2.6448548733827515,
V,2024-10-02,274.5245361328125,46.45908933666151,0.018494086750225763,0.019905952830397977,1.9755706245848008,0.5,0.5803192514694319,0.5,True,True,30.320646220567188,26.676355421311953,1.0,0.11588707844768746,68.37500346097406,-0.04811680680908603,-0.05483341116115803,0.0,0.0,1.0,-0.025278969098296855,-1.4808320968797695,3.797837169644791,1.435206346769835,4.75090099403932,2.7908330028505457,
